Lp.;nazwa JST;wojewodztwo;powiat;typ JST*;nazwa urzędu JST;siedziba urzędu;;;;;nr telefonu;;;nr faksu;;dane wójta/burmistrza/prezydenta/starosty;;;adres mail'owy sekretarza gminy/powiatu;ogólny adres mail'owy gminy/powiatu;adres www jednostki
20;Legnica;dolnośląskie;legnicki;GM;Urząd Miasta Legnica;Legnica;59-220;Legnica;Plac Słowiański;8;(76);721-21-99;;(76);721-21-15;Prezydent;Tadeusz;Krzakowski;tkrzakowski@legnica.eu;kancelaria@legnica.eu;www.legnica.eu
21;Lubań-miasto;dolnośląskie;lubański;GM;Urząd Miasta Lubań;Lubań;59-800;Lubań;ul. 7 Dywizji ;14;(75);646-44-00;;(75);646-44-05;Burmistrz;Arkadiusz;Słowiński;boi.um@luban.pl;boi.um@luban.pl;www.luban.pl
22;Świeradów-Zdrój;dolnośląskie;lubański;GM;Urząd Miasta Świeradów-Zdrój;Świeradów-Zdrój;59-850;Świeradów-Zdrój;ul. 11 Listopada;35;(75);781-61-19;;(75);781-65-85;Burmistrz;Roland;Marciniak;sekretarz@swieradowzdroj.pl;um@swieradowzdroj.pl;www.swieradowzdroj.pl
23;Lubin-miasto;dolnośląskie;lubiński;GM;Urząd Miasta Lubin;Lubin;59-300;Lubin;ul. Kilińskiego;10;(76);746-81-01;;(76);746-82-00;Prezydent;Robert;Raczyński;kontakt@um.lubin.pl;kontakt@um.lubin.pl;www.um.lubin.pl
24;Oleśnica-miasto;dolnośląskie;oleśnicki;GM;Urząd Miasta Oleśnica;Oleśnica;56-400;Oleśnica;Rynek-Ratusz;;(71);798-21-00;;(71);798-21-08;Burmistrz;Jan;Branś;burmistrz@olesnica.pl;kancelaria@olesnica.pl;http://www.olesnica.pl/
25;Oława-miasto;dolnośląskie;oławski;GM;Urząd Miasta Oława;Oława;55-200;Oława;pl. Zamkowy;15;(71);313-23-46;;(71);313-24-91;Burmistrz;Franciszek;Październik;sekretrarz@um.olawa.pl;olawa@um.olawa.pl;www.olawa.pl
26;Świdnica-miasto;dolnośląskie;świdnicki;GM;Urząd Miasta Świdnica;Świdnica;58-100;Świdnica;ul. Armii Krajowej;49;(74);856-28-27;;(74);852-31-10;Prezydent;Wojciech;Murdzek;urzadgm@swidnica.zgora.pl;urzadgm@swidnica.zgora.pl;http://www.um.swidnica.pl/news.php
27;Świebodzice;dolnośląskie;świdnicki;GM;Urząd Miasta Świebodzice;Świebodzice;58-160;Świebodzice;ul. Rynek;1;(74);666-95-00;;(74);666-95-09;Burmistrz;Bogdan;Kożuchowicz;sekretarz@swiebodzice.pl ;swiebodzice@swiebodzice.pl ;www.swiebodzice.pl 
28;Boguszów-Gorce;dolnośląskie;wałbrzyski;GM;Urząd Miasta Boguszów-Gorce;Boguszów-Gorce;58-370;Boguszów-Gorce;Plac Odrodzenia;1;(74);844-93-11;;(74);844-91-65;Burmistrz;Waldemar;Kujawa;sekretariat@boguszow-gorce.pl;sekretariat@boguszow-gorce.pl;www.boguszow-gorce.pl
29;Jedlina-Zdrój;dolnośląskie;wałbrzyski;GM;Urząd Miasta Jedlnia-Zdrój;Jedlina-Zdrój;58-330;Jedlina-Zdrój;ul. Poznańska;2;(74);845-52-15;;(74);845-52-16;Burmistrz;Leszek;Orpel;urzad@um.jedlnia.pl;urzad@um.jedlnia.pl;http://www.jedlinazdroj.com.pl/
30;Szczawno-Zdrój;dolnośląskie;wałbrzyski;GM;Urząd Miasta Szczawno-Zdrój;Szczawno-Zdrój;58-310;Szczawno-Zdrój;ul. Kościuszki;17;(74);849-39-16;;(74);843-56-13;Burmistrz;Tadeusz;Wlaźlak;sekretarz@szczawno-zdroj.pl;promocja@szczawno-zdroj.pl;www.szczawno-zdroj.pl
31;Wałbrzych;dolnośląskie;wałbrzyski;GM;Urząd Miasta Wałbrzych;Wałbrzych;58-300;Wałbrzych;pl. Magistracki;1;(74);665-51-00;;(74);665-51-18;Prezydent;Piotr;Kruczkowski;um@um.walbrzych.pl;um@um.walbrzych.pl;www.um.walbrzych.pl
32;Wrocław;dolnośląskie;wrocławski;GM;Urząd Miasta Wrocław;Wrocław;50-107;Wrocław;ul. Sukiennice;9;(71);777-82-01;;(71);777-76-77;Prezydent;Rafał;Dutkiewicz;smw@um.wroc.pl;kum@um.wroc.pl;www.wroclaw.pl
33;Zawidów;dolnośląskie;zgorzelecki;GM;Urząd Miasta Zawidów;Zawidów;59-970;Zawidów;ul. Zwycięstwa;21/22;(75);778-82-82;;(75);778-82-05;Burmistrz;Józef;Sontowski;sekretarzzawidow@wp.pl;umzawidow@wp.pl;www.zawidow.info
34;Zgorzelec-miasto;dolnośląskie;zgorzelecki;GM;Urząd Miasta Zgorzelec;Zgorzelec;59-900;Zgorzelec;ul. Domańskiego;7;(75);775-66-00;;(75);775-99-23;Burmistrz;Rafał;Gronicz;urzad@zgorzelec.eu;urzad@zgorzelec.eu;www.zgorzelec.eu
35;Wojcieszów;dolnośląskie;złotoryjski;GM;Urząd Miasta Wojcieszów;Wojcieszów;59-550;Wojcieszów;ul. Pocztowa;1;(75);751-22-30;11;(75);751-22-80;Burmistrz;Sławomir;Maciejczyk;miasto@wojcieszow.pl;miasto@wojcieszow.pl;www.wojcieszow.pl
36;Złotoryja-miasto;dolnośląskie;złotoryjski;GM;Urząd Miasta Złotoryja;Złotoryja;59-500;Złotoryja;ul. Plac Orląt Lwowskich;1;(76);877-91-00;;(76);878-31-20;Burmistrz;Ireneusz;Żurawski;um@zlotoryja.pl;um@zlotoryja.pl;www.zlotoryja.pl
Województwo kujawsko-pomorskie;;;;;;;;;;;;;;;;;;;;;
37;Aleksandrów Kujawski-miasto;kujawsko-pomorskie;aleksandrowski;GM;Urząd Miasta Aleksandrów Kujawski;Aleksandrów Kujawski;87-700;Aleksandrów Kujawski;ul. Słowackiego;8;(54);282-21-94;103;(54);282-48-55;Burmistrz;Andrzej;Cieśla;sekretarz@aleksandrowkujawski.pl;um@aleksandrowkujawski.pl;www.aleksandrowkujawski.pl
38;Ciechocinek;kujawsko-pomorskie;aleksandrowski;GM;Urząd Miasta Ciechocinek;Ciechocinek;87-720;Ciechocinek;ul. Kopernika;19;(54);416-18-00;113;(54);283-64-23;Burmistrz;Leszek;Dzierżewicz;ratusz@ciechocinek.pl;ratusz@ciechocinek.pl;www.ciechocinek.pl
39;Nieszawa;kujawsko-pomorskie;aleksandrowski;GM;Urząd Miasta Nieszawa;Nieszawa;87-730;Nieszawa;ul. 3-go Maja;2;(54);283-81-26;;(54);283-81-22;Burmistrz;Andrzej;Nawrocki;um.nieszawa@nieszawa.pl;um.nieszawa@nieszawa.pl;www.nieszawa.pl
40;Brodnica-miasto;kujawsko-pomorskie;brodnicki;GM;Urząd Miasta Brodnica;Brodnica;87-300;Brodnica;ul. Kamionka;23;(56);493-03-00;;(56);498-26-26;Burmistrz;Jarosław;Radacz;ekempczynska@brodnica.pl;umb@brodnica.pl;www.brodnica.pl
41;Bydgoszcz;kujawsko-pomorskie;bydgoski;GM;Urząd Miasta Bydgoszcz;Bydgoszcz;85-950;Bydgoszcz;ul. Jezuicka;1;(52);585-83-58;;(52);585-83-31;Prezydent;Rafał;Bruski;sekretarz@um.bydgoszcz.pl;urzad@um.bydgoszcz.pl;www.um.bydgoszcz.pl
42;Chełmno-miasto;kujawsko-pomorskie;chełmiński;GM;Urząd Miasta Chełmno;Chełmno;86-200;Chełmno;ul. Dworcowa;1;(56);677-17-38;;(56);677-17-74;Burmistrz;Mariusz;Kędzierski;sekretarz_miasta@chelmno.pl;urzad@gmina-chelmno.pl;www.chelmno.pl
43;Golub-Dobrzyń-miasto;kujawsko-pomorskie;golubsko-dobrzyński;GM;Urząd Miasta Golub-Dobrzyń;Golub-Dobrzyń;87-400;Golub-Dobrzyń;ul. Tysiąclecia;25;(56);683-54-10;;(56);683-54-15;Burmistrz;Roman;Tasarz;sekretarz@golub-dobrzyn.pl;um@golub-dobrzyn.pl;www.golub-dobrzyn.pl
44;Grudziądz-miasto;kujawsko-pomorskie;grudziądzki;GM;Urząd Miasta Grudziądz;Grudziądz;86-300;Grudziądz;ul. Ratuszowa;1;(56);451-02-01;;(56);462-58-12;Prezydent;Robert;Malinowski;sekretarz@um.grudziadz.pl;bip@um.grudziadz.pl;www.grudziadz.pl
45;Inowrocław-miasto;kujawsko-pomorskie;inowrocławski;GM;Urząd Miasta Inowrocław;Inowrocław;88-100;Inowrocław;ul. Franklina D. Roosevelta;36;(52);355-52-77;;(52);355-52-55;Prezydent;Ryszard;Brejza;sekretarz@inowroclaw.pl;urzad@inowroclaw.pl;www.inowroclaw.pl
46;Lipno-miasto;kujawsko-pomorskie;lipnowski;GM;Urząd Miasta Lipno;Lipno;87-600;Lipno;ul. Plac Dekerta;8;(54);288-42-11;;(54);288-42-65;Burmistrz;Janusz;Dobroś;sekretarz@umlipno.pl;sekretariat@umlipno.pl;www.umlipno.pl
47;Radziejów-miasto;kujawsko-pomorskie;radziejowski;GM;Urząd Miasta Radziejów;Radziejów;88-200;Radziejów;ul. Kościuszki;20/22;(54);285-71-01;;(54);285-71-05;Burmistrz;Sławomir;Bykowski;sekretarz@umradziejow.pl ;radziejow@umradziejow.pl;www.umradziejow.pl
48;Rypin-miasto;kujawsko-pomorskie;rypiński;GM;Urząd Miasta Rypin;Rypin;87-500;Rypin;ul. Warszawska;40;(54);280-96-00;;(54);280-20-60;Burmistrz;Paweł;Grzybowski;mikolaj.kozubowicz@rypin.eu;rypin@rypin.eu;www.rypin.eu
49;Chełmża-miasto;kujawsko-pomorskie;toruński;GM;Urząd Miasta Chełmża;Chełmża;87-140;Chełmża;ul. Gen. Hallera;2;(56);675-22-91;;(56);675-21-22;Burmistrz;Jerzy;Czerwiński;um@chelmza.pl;um@chelmza.pl;www.chelmza.pl
50;Toruń;kujawsko-pomorskie;toruński;GM;Urząd Miasta Toruń;Toruń;87-100;Toruń;ul. Wały Gen. Sikorskiego;8;(56);611-87-52;;(56);655-58-11;Prezydent;Michał;Zaleski;sekretarz@um.torun.pl;prezydent@um.torun.pl;www.torun.pl
51;Wąbrzeźno-miasto;kujawsko-pomorskie;wąbrzeski;GM;Urząd Miasta Wąbrzeźno;Wąbrzeźno;87-200;Wąbrzeźno;ul. Wolności;18;(56);688-45-00;;(56);688-27-48;Burmistrz;Leszek;Kawski;umwabrzezno@torun.home.pl;umwabrzezno@torun.home.pl;www.wabrzezno.com
52;Kowal-miasto;kujawsko-pomorskie;włocławski;GM;Urząd Miasta Kowal;Kowal;87-820;Kowal;ul. Piwna;24;(54);284-12-55;;(54);284-22-31;Burmistrz;Eugeniusz;Gołembiewski;kowal@kowal.eu;kowal@kowal.eu;www.kowal.eu
53;Włocławek-miasto;kujawsko-pomorskie;włocławski;GM;Urząd Miasta Włocławek;Włocławek;87-800;Włocławek;ul. Zielony Rynek;11/13;(54);411-35-00;;(54);411-36-00;Prezydent;Andrzej;Pałucki;promocja@um.wlocl.pl;poczta@um.wloclawek.pl;www.um.wlocl.pl
Województwo lubelskie;;;;;;;;;;;;;;;;;;;;;
54;Biała Podlaska;lubelskie;bialski;GM;Urząd Miasta Biała Podlaska;Biała Podlaska;21-500;Biała Podlaska;ul. Marszałka Józefa Piłsudskiego;3;(83);343-66-92;;(83);343-70-64;Prezydent;Andrzej;Czapski;sekretarzbp@bialapodlaska.pl;um@bialapodlaska.pl;www.bialapodlaska.pl
55;Międzyrzecz Podlaski-miasto;lubelskie;bialski;GM;Urząd Miasta Międzyrzecz Podlaski;Międzyrzecz Podlaski;21-560;Międzyrzecz Podlaski;ul. Pocztowa;8;(83);371-77-89;;(83);371-77-90;Burmistrz;Artur Jan;Grzyb;sekretarz@miedzyrzec.pl;miasto@miedzyrzec.pl;www.miedzyrzec.pl
56;Terespol-miasto;lubelskie;bialski;GM;Urząd Miasta Terespol;Terespol;21-550;Terespol;ul. Wojska Polskiego;130;(83);375-20-36;;(83);375-23-27;Burmistrz;Jacek;Danieluk;um@terespol.pl;um@terespol.pl;www.terespol.pl
57;Biłgoraj-miasto;lubelskie;biłgorajski;GM;Urząd Miasta Biłgoraj;Biłgoraj;23-400;Biłgoraj;pl. Wolności;16;(84);686-96-00;;(84);686-96-65;Burmistrz;Janusz Zbigniew;Rosłan;sekretariat@bilgoraj.pl;sekretariat@bilgoraj.pl;www.bilgoraj.pl
58;Chełm;lubelskie;chełmski;GM;Urząd Miasta Chełm;Chełm;22-100;Chełm;ul. Lubelska;65;(82);565-22-23;;(82);565-22-54;Prezydent;Agata;Fisz;info@chelm.pl;info@chelm.pl;www.chelm.pl
59;Rejowiec Fabryczny-miasto;lubelskie;chełmski;GM;Urząd Miasta Rejowiec Fabryczny;Rejowiec Fabryczny;22-170;Rejowiec Fabryczny;ul. Lubelska;16;(82);566-32-77;;(82);566-47-28;Burmistrz;Stanisław;Bodys;sekretarz@rejowiec.pl;info@rejowiec.pl;www.rejowiec.pl
60;Hrubieszów-miasto;lubelskie;hrubieszowski;GM;Urząd Miasta Hrubieszów;Hrubieszów;22-500;Hrubieszów;"ul. mjr. H. Dobrzańskiego ""HUBALA""";1;(84);696-23-80;;(84);696-23-80 w.30;Burmistrz;Tadeusz;Garaj;miasto@hrubieszow.pl;miasto@hrubieszow.pl;http://www.miasto.hrubieszow.pl/
61;Krasnystaw-miasto;lubelskie;krasnostawski;GM;Urząd Miasta Krasnystaw;Krasnystaw;22-300;Krasnystaw;Plac 3 Maja;29;(82);576-21-57;;(82);576-23-77;Burmistrz;Andrzej;Jakubiec;sekretarz@krasnystaw.pl;miasto@krasnystaw.pl;www.krasnystaw.pl
62;Kraśnik-miasto;lubelskie;kraśnicki;GM;Urząd Miasta Kraśnik;Kraśnik;23-200;Kraśnik;ul. Lubelska;84;(81);825-15-20;;(81);825-27-09;Burmistrz;Mirosław;Włodarczyk;sekretarz@um.krasnik.pl;sekretariat@krasnik.um.gov.pl;www.krasnik.um.gov.pl
63;Lubartów-miasto;lubelskie;lubartowski;GM;Urząd Miasta Lubartów;Lubartów;21-100;Lubartów;ul. Jana Pawła II;12;(81);855-22-73;;(81);855-20-16;Burmistrz;Janusz;Bodziacki;poczta@um.lubartow.pl;poczta@um.lubartow.pl;http://www.lubartow.pl/
64;Lublin;lubelskie;lubelski;GM;Urząd Miasta Lublin;Lublin;20-950;Lublin;Plac Króla Władysława Łokietka;1;(81);466-20-00;;(81);466-20-02;Prezydent;Krzysztof;Żuk;sekretarz@lublin.eu;urzad_miasta@lublin.eu;www.um.lublin.pl
65;Łuków-miasto;lubelskie;łukowski;GM;Urząd Miasta Łuków;Łuków;21-400;Łuków;ul. Piłsudskiego;17;(25);798-27-01;;(25);798-27-01;Burmistrz;Dariusz;Szustek;wsiurek@um.lukow.pl;info@um.lukow.pl;www.um.lukow.pl
66;Stoczek Łukowski-miasto;lubelskie;łukowski;GM;Urząd Miasta Stoczek Łukowski;Stoczek Łukowski;21-450;Stoczek Łukowski;Plac Tadeusza Kościuszki ;1;(25);797-00-01;;(25);797-00-73;Burmistrz;Ireneusz Bogdan;Szczepanik;sekretarz@stoczek-lukowski.pl;miasto@stoczek-lukowski.pl;www.stoczek-lukowski.pl
67;Nałęczów;lubelskie;puławski;GM;Urząd Miasta Nałeczów;Nałęczów;24-150;Nałęczów;ul. Lipowa;3;(81);501-45-00;;(81);501-45-00;Burmistrz;Andrzej Roman;Ćwiek;sekretarz@naleczow.pl;um@naleczow.pl;www.naleczow.pl
68;Puławy-miasto;lubelskie;puławski;GM;Urząd Miasta Puławy;Puławy;24-100;Puławy;ul. Lubelska;5;(81);880-45-03;;(81);880-45-02;Prezydent;Janusz;Grobel;marta.maslankiewicz@um.pulawy.pl;um@um.pulawy.pl;www.um.pulawy.pl
69;Radzyń Podlaski-miasto;lubelskie;radzyński;GM;Urząd Miasta Radzyń Podlaski;Radzyń Podlaski;21-300;Radzyń Podlaski;ul. Warszawska;32;(83);352-80-70;;(83);352-80-85;Burmistrz;Witold;Kowalczyk;szykarukk@radzyn-podl.pl;sekretariat@radzyn-podl.pl;www.radzyn-podl.pl
70;Dęblin;lubelskie;rycki;GM;Urząd Miasta Dęblin;Dęblin;08-530;Dęblin;Rynek;12;(81);883-00-01;;(81);880-19-11;Burmistrz;Stanisław;Włodarczyk;poczta@um.deblin.pl;poczta@um.deblin.pl;http://www.deblin.pl/x.node?id=0
71;Świdnik;lubelskie;świdnicki;GM;Urząd Miasta Świdnik;Świdnik;21-047;Świdnik;ul. Kardynała Stefana Wyszyńskiego;15;(81);751-76-02;;(81);751-76-08;Burmistrz;Waldemar;Jakson;urzad@swidnik.um.gov.pl;urzad@swidnik.um.gov.pl;www.swidnik.pl
72;Tomaszów Lubelski-miasto;lubelskie;tomaszowski;GM;Urząd Miasta Tomaszów Lubelski;Tomaszów Lubelski;22-600;Tomaszów Lubelski;ul. Lwowska;57;(84);664-37-40;;(84);664-22-43;Burmistrz;Wojciech;Żukowski;umtomaszow@tomaszow-lubelski.pl;umtomaszow@tomaszow-lubelski.pl;www.tomaszow-lubelski.pl
73;Włodawa-miasto;lubelskie;włodawski;GM;Urząd Miasta Włodawa;Włodawa;22-200;Włodawa;Al. J. Piłsudskiego;24;(82);572-14-44;;(82);572-24-54;Burmistrz;Jerzy;Wrzesień;info@wlodawa.eu;info@wlodawa.eu;www.wlodawa.eu
74;Zamość;lubelskie;zamojski;GM;Urząd Miasta Zamość;Zamość;22-400;Zamość;Rynek Wielki;13;(84);638-20-84;;(84);638-42-96;Prezydent;Marcin;Zamoyski;mayor@zamosc.um.gov.pl;mayor@zamosc.um.gov.pl;www.zamosc.pl
Województwo lubuskie;;;;;;;;;;;;;;;;;;;;;
75;Gorzów Wielkopolski;lubuskie;gorzowski;GM;Urząd Miasta Gorzów Wielkopolski;Gorzów Wielkopolski;66-400;Gorzów Wielkopolski;ul. Sikorskiego;3-4;(95);735-55-00;;(95);735-56-70;Prezydent;Tadeusz;Jędrzejczak;um@um.gorzow.pl;um@um.gorzow.pl;www.gorzow.pl
76;Kostrzyn;lubuskie;gorzowski;GM;Urząd Miasta Kostrzyn;Kostrzyn;66-470;Kostrzyn;ul. Graniczna;2;(95);727-81-01;;(95);727-81-02;Burmistrz;Andrzej;Kunt;urzad@kostrzyn.um.gov.pl;urzad@kostrzyn.um.gov.pl;www.kostrzyn.pl
77;Gubin-miasto;lubuskie;krośnieński;GM;Urząd Miasta Gubin;Gubin;66-620;Gubin;ul. Piastowska;24;(68);455-81-00;;(68);455-81-02;Burmistrz;Bartłomiej;Bartczak;sekretarz@gubin.pl;um@gubin.pl;www.gubin.pl
78;Nowa Sól-miasto;lubuskie;nowosolski;GM;Urząd Miasta Nowa Sól;Nowa Sól;67-100;Nowa Sól;ul. Marsz. Józef Piłsudskiego;12;(68);459-03-00;;(68);459-03-58;Prezydent;Wadim;Tyszkiewicz;sekretarz@nowasol.pl;nowasol@nowasol.pl;www.nowasol.pl
79;Zielona Góra-miasto;lubuskie;zielonogórski;GM;Urząd Miasta Zielona Góra;Zielona Góra;65-424;Zielona Góra;ul. Podgórna;22;(68);456-41-11;;(68);456-41-55;Prezydent;Janusz;Kubicki;Organizacyjny@um.zielona-gora.pl;urzadmiasta@um.zielona-gora.pl;www.um.zielona-gora.pl
80;Gozdnica;lubuskie;żagański;GM;Urząd Miasta Gozdnica;Gozdnica;68-130;Gozdnica;ul. Świerczewskiego;2;(68);360-11-34;;(68);360-10-76;Burmistrz;Zdzisław;Płaziak;urzad@gozdnica.pl;urzad@gozdnica.pl;www.gozdnica.pl
81;Żagań-miasto;lubuskie;żagański;GM;Urząd Miasta Żagań;Żagań;68-100;Żagań;Plac Słowiański;17;(68);477-10-40;;(68);477-10-17;Burmistrz;Sławomir;Kowal;urzad@gminazagan.pl;urzad@gminazagan.pl;www.um.zagan.pl
82;Łęknica;lubuskie;żarski;GM;Urząd Miasta Łęknica;Łęknica;68-208;Łęknica;ul. Żurawska;1;(68);362-47-23;;(68);362-47-01;Burmistrz;Jan;Bieniasz;sekretarz@umleknica.pl;sekretariat@umleknica.pl ;www.leknica.pl
83;Żary-miasto;lubuskie;żarski;GM;Urząd Miasta Żary;Żary;68-200;Żary;Rynek ;1-5;(68);470-83-18;;(68);470-83-86;Burmistrz;Wacław;Maciuszonek;miasto@zary.pl;miasto@zary.pl;www.zary.pl
Województwo łódzkie;;;;;;;;;;;;;;;;;;;;;
84;Bełchatów-miasto;łódzkie;bełchatowski;GM;Urząd Miasta Bełchatów;Bełchatów;97-400;Bełchatów;ul. Kościuszki;1;(44);733-51-16;;(44);632-69-23;Prezydent;Marek;Chrzanowski;um@belchatow.pl;um@belchatow.pl;www.belchatow.pl
85;Brzeziny-miasto;łódzkie;brzeziński;GM;Urząd Miasta Brzeziny;Brzeziny;96-140;Brzeziny;ul. Sienkiewicza;16;(46);874-22-24;;(46);874-27-93;Burmistrz;Marcin;Pluta;sekretarz@brzeziny.pl;brzeziny@brzeziny.pl;www.brzeziny.pl
86;Kutno-miasto;łódzkie;kutnowski;GM;Urząd Miasta Kutno;Kutno;99-300;Kutno;Pl. Marsz. Józefa Piłsudskiego;18;(24);253-11-02;;(24);254-28-36;Prezydent;Zbigniew;Burzyński;sekretarz@um.kutno.pl;urzad@um.kutno.pl;www.um.kutno.pl
